[2025-03-01 04:21:25 +0000] [1221] [INFO] Starting gunicorn 23.0.0
[2025-03-01 04:21:25 +0000] [1221] [INFO] Listening at: http://0.0.0.0:5000 (1221)
[2025-03-01 04:21:25 +0000] [1221] [INFO] Using worker: sync
[2025-03-01 04:21:25 +0000] [1232] [INFO] Booting worker with pid: 1232
[2025-03-01 04:21:25 +0000] [1221] [INFO] Handling signal: winch
[2025-03-01 04:21:25 +0000] [1221] [INFO] Handling signal: winch
[2025-03-01 04:21:25 +0000] [1221] [INFO] Handling signal: winch
[2025-03-01 04:21:25 +0000] [1221] [INFO] Handling signal: winch
[2025-03-01 04:21:25 +0000] [1221] [INFO] Handling signal: winch
[2025-03-01 04:21:25 +0000] [1221] [INFO] Handling signal: winch
[2025-03-01 04:21:26 +0000] [1221] [INFO] Handling signal: winch
[2025-03-01 04:21:26 +0000] [1221] [INFO] Handling signal: winch
[2025-03-01 04:21:26 +0000] [1221] [INFO] Handling signal: winch
[2025-03-01 04:21:26 +0000] [1221] [INFO] Handling signal: winch
[2025-03-01 04:21:26 +0000] [1221] [INFO] Handling signal: winch
[2025-03-01 04:21:26 +0000] [1221] [INFO] Handling signal: winch
[2025-03-01 04:21:26 +0000] [1221] [INFO] Handling signal: winch
[2025-03-01 04:21:26 +0000] [1221] [INFO] Handling signal: winch
[2025-03-01 04:21:26 +0000] [1221] [INFO] Handling signal: winch
[2025-03-01 04:22:03 +0000] [1221] [INFO] Handling signal: winch
[2025-03-01 04:22:03 +0000] [1221] [INFO] Handling signal: winch
[2025-03-01 04:22:03 +0000] [1221] [INFO] Handling signal: winch
[2025-03-01 04:22:03 +0000] [1221] [INFO] Handling signal: winch
[2025-03-01 04:22:03 +0000] [1221] [INFO] Handling signal: winch
[2025-03-01 04:22:03 +0000] [1221] [INFO] Handling signal: winch
[2025-03-01 04:22:03 +0000] [1221] [INFO] Handling signal: winch
[2025-03-01 04:22:03 +0000] [1221] [INFO] Handling signal: winch
[2025-03-01 04:22:44 +0000] [1221] [INFO] Handling signal: term
[2025-03-01 04:22:44 +0000] [1232] [INFO] Worker exiting (pid: 1232)
[2025-03-01 04:22:44 +0000] [1221] [INFO] Shutting down: Master
